         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN c1_mean c1_mean_err c1_stdev c1_stdev_err c1_X2norm c1_Nvalid c1_Nnan c2_mean c2_mean_err c2_stdev c2_stdev_err c2_X2norm c2_Ngood c2_Nclip c2_Nmask c2_Nnan
58104.205777 18.857417 0.187916   104    18 c    0    4.01 299.61892 62.13773  1112.49  1808.34 3.47 2.99  46.9 -0.433    19.21 20.81 02a58104o0040c 0xc00b30   5.777778  482.43        5.92   442.86       118.36    805.80         7       0   91.24        9.20    34.08        13.91      4.27        3        1        3       0
58104.214283 16.220295 0.013802  1180    15 c    0  144.43 299.61892 62.13773  1092.77  1775.71 3.63 3.12  43.3 -0.428    19.24 21.02 02a58104o0058c 0xd00b31  78.666667  326.93        6.06   468.03       125.09   1052.98         7       0   29.35        9.42    27.50        11.23      2.95        3        2        2       0
58256.579525 16.256786 0.009516  1141    10 c    0  556.71 299.61892 62.13773  9339.67  8950.69 2.73 2.60  45.3 -0.412    19.67 21.61 02a58256o0591c 0x500931 114.100000  975.76        4.12  1006.91       269.11   8472.38         7       0    2.36        6.67    19.50         7.96      2.66        3        0        4       0
58256.590633 19.816329 0.353496    43    14 c    0    1.09 299.61892 62.13773  9371.13  8991.06 2.61 2.54  42.9 -0.423    19.72 21.63 02a58256o0612c 0x400330   3.071429  286.86        4.44   481.34       128.64   2166.30         7       0   27.50        6.00    24.99         8.83      4.34        4        1        2       0
58256.601176 19.791368      NaN     8    12 c    0    2.22 299.61892 62.13773  9307.98  8916.91 2.80 2.63  43.5 -0.428    19.67 21.65 02a58256o0633c 0x400230   0.666667  558.89        4.18   673.12       179.90   4309.87         7       0   22.68        5.34    17.99         5.69      2.31        5        0        2       0
58256.612013 19.063754 0.151498    86    12 c    0    5.43 299.61892 62.13773  1168.17  1401.18 2.51 2.31  45.6 -0.469    19.56 21.13 02a58256o0654c 0x082030   7.166667  254.33        4.40   788.16       210.64   3790.17         7       0   -1.87        5.17    14.75         4.66      1.67        5        1        1       0
58280.542938 17.922662      NaN    93    51 c    0    3.29 299.61892 62.13773  3460.33   906.57 2.78 2.51   5.1 -0.397    18.34 20.07 02a58280o0641c 0xd00812   1.823529    5.52       18.20    85.50        22.85      3.27         7       0     NaN         NaN      NaN          NaN       NaN        0        0        7       0
58280.552771 16.781068      NaN   332   124 c    0    2.00 299.61892 62.13773  3444.87   874.74 2.82 2.49  38.2 -0.412    16.76 18.35 02a58280o0662c 0xd00832   2.677419  192.32       45.91   290.37        77.60      6.13         7       0     NaN         NaN      NaN          NaN       NaN        0        0        7       0
58280.563072 16.995180 0.152153   578    81 c    0    7.47 299.61892 62.13773  3496.60   954.51 3.10 2.59   5.9 -0.386    17.22 18.85 02a58280o0683c 0xd00832   7.135802 1017.66       28.26  1534.97       410.24    469.56         7       0     NaN         NaN      NaN          NaN       NaN        0        0        7       0
58280.574365 17.626994      NaN    71    84 c    0    2.25 299.61892 62.13773  3520.73   837.46 2.68 2.42  47.2 -0.422    17.52 19.07 02a58280o0704c 0xd00822   0.845238   92.89       28.83    80.89        21.62      1.00         7       0     NaN         NaN      NaN          NaN       NaN        0        0        7       0
58284.536494 16.568816 0.012684   856    10 c    0  373.07 299.61892 62.13773   729.99  1767.53 2.55 2.35  43.7 -0.456    19.74 21.75 02a58284o0626c 0x180011  85.600000    5.68        3.12    16.80         4.49      4.15         7       0    0.96        3.39    12.91         3.73      2.42        6        1        0       0
58284.546376 20.321591      NaN    -6     9 c    0    6.47 299.61892 62.13773   713.67  1735.87 2.65 2.40  43.4 -0.458    19.75 21.75 02a58284o0647c 0x082030  -0.666667  207.18        3.33   299.46        80.04   1196.56         7       0   -8.63        4.70     9.88         3.49      1.18        4        1        2       0
58284.556171 17.357499 0.020980   414     8 c    0  121.53 299.61892 62.13773   777.82  1806.36 2.75 2.43  48.2 -0.450    19.75 21.76 02a58284o0668c 0x100001  51.750000   -9.02        3.71     7.18         1.92      0.45         7       0  -10.12        4.19     7.57         2.19      0.48        6        0        1       0
58284.566214 16.260599 0.011459  1137    12 c    0  355.70 299.61892 62.13773   795.90  1689.14 2.76 2.46  43.4 -0.450    19.72 21.79 02a58284o0689c 0x500931  94.750000  486.10        3.25   489.02       130.70   3028.55         7       0    1.50        5.13    20.74         8.47      4.91        3        0        4       0
58308.504097 20.207197      NaN   -32    10 c    0    2.96 299.61892 62.13773  2176.00  9621.04 2.66 2.44  32.0 -0.454    19.75 21.75 02a58308o0282c 0x082030  -3.200000  235.49        3.73   525.16       140.35   3285.17         7       0  -10.64        5.07     8.42         2.98      0.67        4        1        2       0
58308.521475 15.951839 0.007904  1511    11 c    0  771.65 299.61892 62.13773  2149.23  9584.73 2.73 2.47  27.4 -0.455    19.74 21.74 02a58308o0319c 0x100031 137.363636  509.65        3.78   632.82       169.13   3995.38         7       0  -13.37        5.16     9.54         3.37      0.77        4        0        3       0
58308.523778 15.522443 0.005322  2244    11 c    0 1505.52 299.61892 62.13773  2202.12  9659.86 2.84 2.55  24.0 -0.449    19.69 21.73 02a58308o0324c 0x500331 204.000000  947.67        4.14  1156.87       309.19  11093.13         7       0  -19.53        5.61    18.01         6.37      2.67        4        0        3       0
58308.537646 15.687232 0.005631  1928    10 c    0 1642.93 299.61892 62.13773  2218.13  9542.33 2.72 2.42  21.8 -0.462    19.70 21.67 02a58308o0353c 0x500231 192.800000  375.33        4.39   689.70       184.33   3411.63         7       0  -21.13        5.34     8.56         2.71      0.53        5        0        2       0
58312.485180 16.184991 0.008907  1219    10 c    0  637.12 299.61892 62.13773  1795.90  9709.79 2.52 2.33  19.9 -0.451    19.73 21.62 02a58312o0517c 0x500c31 121.900000  284.82        3.62   505.36       135.06   2654.10         7       0    7.44        6.25     2.83         1.41      0.10        2        3        2       0
58312.487042 15.630191 0.005878  2032    11 c    0 1691.26 299.61892 62.13773  1777.35  9672.54 2.56 2.34  16.8 -0.453    19.72 21.61 02a58312o0521c 0x500111 184.727273    3.03        4.06    17.71         4.73      2.56         7       0    3.03        4.06    17.71         4.73      2.56        7        0        0       0
58312.502626 19.569016 0.241275    54    12 c    0    9.18 299.61892 62.13773  1825.44  9748.35 2.76 2.48  22.5 -0.453    19.68 21.60 02a58312o0554c 0x400130   4.500000  408.85        4.14   516.83       138.13   2221.94         7       0   -2.60        5.47    21.65         7.65      3.66        4        0        3       0
