ControlID PatternID           Ra         Dec   RaOffset  DecOffset     Radius Ndet Ndet_c Ndet_o
        0         0 299.61891667 62.13773056       0.00       0.00       0.00 2057    356   1701
        1         3 299.62101515 62.13486028  16.882449        0.0  16.882449 2057    358   1699
        2         3 299.61098167 62.13954985        0.0  16.882449  16.882449 2060    356   1704
        3         3 299.60388692 62.13817630 -11.937694  11.937694  16.882449 2059    354   1705
        4         3 299.60094819 62.13486028 -16.882449        0.0  16.882449 2055    353   1702
        5         3 299.60388692 62.13154425 -11.937694 -11.937694  16.882449 2054    354   1700
        6         3 299.61098167 62.13017071       -0.0 -16.882449  16.882449 2053    355   1698
        7         3 299.61807641 62.13154425  11.937694 -11.937694  16.882449 2053    355   1698
