         MJD         m       dm   uJy  duJy F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN  c1_mean c1_mean_err c1_stdev c1_stdev_err c1_X2norm c1_Nvalid c1_Nnan  c2_mean c2_mean_err c2_stdev c2_stdev_err c2_X2norm c2_Ngood c2_Nclip c2_Nmask c2_Nnan
57929.531318 19.743105 0.283236    46    12 o    0     4.82 299.61892 62.13773  5730.19  6189.91  3.42 3.05  49.3 -0.407    19.38 21.04 01a57929o0588o 0x400130   3.833333    22.14        4.71    27.22         7.28      5.42         7       0    10.16        5.67    22.22         7.03      3.50        5        0        2       0
57929.540151 19.256669      NaN    33    13 o    0     9.92 299.61892 62.13773  5714.50  6342.00  3.38 2.98  45.8 -0.412    19.39 21.00 01a57929o0606o 0x002000   2.538462     4.86        5.15    19.48         5.21      2.09         7       0     7.97        5.54    19.30         5.57      2.04        6        0        1       0
57933.506875 16.097743 0.007397  1321     9 o    0   636.06 299.61892 62.13773  3702.67  5416.88  3.10 2.83  54.3 -0.440    19.59 21.55 01a57933o0540o 0x100031 146.777778   388.80        3.86   611.91       163.54   3690.22         7       0     0.61        5.23     9.98         3.53      0.92        4        0        3       0
57933.516728 19.197966 0.157146    76    11 o    0     3.57 299.61892 62.13773  3716.64  5493.43  3.14 2.84  49.7 -0.438    19.55 21.55 01a57933o0560o 0x400330   6.909091   147.02        4.28   244.51        65.35    568.10         7       0    16.23        5.25    20.45         6.47      3.18        5        0        2       0
57933.523143 19.816329 0.252497    43    10 o    0     6.69 299.61892 62.13773  3668.33  5442.13  3.12 2.89  43.4 -0.435    19.57 21.57 01a57933o0573o 0x400330   4.300000    52.82        3.50    37.21         9.94     16.44         7       0    23.12        4.73    16.32         5.77      3.17        4        2        1       0
57933.531977 18.847027 0.113744   105    11 o    0     4.57 299.61892 62.13773  3644.59  5589.84  3.09 2.82  57.7 -0.445    19.56 21.53 01a57933o0591o 0x082030   9.545455   313.94        4.02   450.61       120.43   1932.86         7       0     7.64        5.36    17.29         6.11      2.50        4        1        2       0
57937.506912 15.617970 0.006868  2055    13 o    0   584.61 299.61892 62.13773  3882.14  6560.01  3.59 3.47  67.4 -0.416    19.28 21.10 01a57937o0533o 0xd00831 158.076923  1818.11        5.22   821.38       219.52   3004.01         7       0     3.00       15.00      NaN          NaN       NaN        1        0        6       0
57937.517263 15.198546 0.004308  3024    12 o    0  1460.87 299.61892 62.13773  3899.80  6638.00  3.45 3.36  84.6 -0.409    19.35 21.20 01a57937o0554o 0xd00a31 252.000000  2892.89        5.03  1240.78       331.61   6924.44         7       0    52.00       15.00      NaN          NaN       NaN        1        0        6       0
57937.522684 16.280840 0.010702  1116    11 o    0   240.71 299.61892 62.13773  3853.38  6585.18  3.48 3.37  59.0 -0.414    19.35 21.20 01a57937o0565o 0xd00831 101.454545   519.09        5.15   447.98       119.73   1108.20         7       0      NaN         NaN      NaN          NaN       NaN        0        0        7       0
57937.534015 15.555354 0.006483  2177    13 o    0   583.31 299.61892 62.13773  3833.55  6742.93  3.77 3.66  60.1 -0.400    19.25 21.18 01a57937o0588o 0xd00b31 167.461538  1643.04        5.40  1024.55       273.82   4641.26         7       0    56.15       10.94    51.62        25.81     11.08        2        0        5       0
