          MJD       m       dm    uJy   duJy  F  err     chi/N         RA       Dec         x         y    maj   min   phi  apfit    Sky     ZP             Obs  Mask  o0_Nmasked  o1_mean  o1_mean_err  o1_stddev    o1_X2norm  o1_Nvalid  o1_Nnan  Noffsetlc  o2_mean  o2_mean_err  o2_stddev  o2_X2norm  o2_Nused  o2_Nskipped  o2_Nin
 57492.558065  15.227    0.007   2947     20  o    0    472.64  299.61892  62.13773   4602.76   7172.28   3.69  3.37 -73.8 -0.469  19.00  20.54  02a57492o0695o    36           5   1042.0      577.309   1414.111    4094.4162          7        0          7      NaN          NaN        NaN        NaN         0            2       2
 57492.571343  14.931    0.005   3870     20  o    0    931.36  299.61892  62.13773   4500.57   7075.81   3.57  3.27 -75.1 -0.479  19.03  20.53  02a57492o0722o     4           7   3992.0      641.488   1571.317    3246.7241          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57523.492241  18.643    0.390    127     49  o    0      5.95  299.61892  62.13773   3372.88   5603.47   3.73  3.39 -52.9 -0.474  18.39  19.68  02a57523o0489o  1024           1    142.0       26.906     65.905       1.6591          7        0          7  157.137       20.333     42.971     0.6604         6            0       6
 57523.503665  14.513    0.005   5685     26  o    0   1120.39  299.61892  62.13773   3391.17   5645.29   3.70  3.38 -54.1 -0.470  18.90  20.35  02a57523o0511o     4           6   5588.0     1041.961   2552.274    6953.3517          7        0          7   32.000       30.000        NaN        NaN         1            0       1
 57523.514907  15.386    0.010   2544     25  o    0    264.28  299.61892  62.13773   3336.42   5566.44   3.68  3.34 -53.3 -0.476  18.96  20.43  02a57523o0533o   516           5   2509.0      607.759   1488.701    2738.0251          7        0          7   42.344       19.359     92.711     7.1299         2            0       2
 57523.525486  14.868    0.005   4102     20  o    0    921.88  299.61892  62.13773   3306.81   5681.97   3.69  3.35 -55.5 -0.470  19.00  20.54  02a57523o0554o     4           7   4404.0      280.880    688.014     678.5706          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57523.538728  14.894    0.006   4004     24  o    0    671.33  299.61892  62.13773   3349.55   5625.11   3.66  3.33 -55.8 -0.473  19.03  20.57  02a57523o0575o     4           6   3034.0      720.023   1763.689    4190.4169          7        0          7    5.000       27.000        NaN        NaN         1            0       1
 57527.512807  20.442    1.386     24     34  o    0     11.26  299.61892  62.13773   5132.50   5436.03   3.81  3.58 -56.4 -0.467  18.39  19.39  02a57527o0403o  1028           1    139.0       33.236     81.411       4.6121          7        0          7  140.671       16.100     44.330     1.4867         5            1       6
 57527.523844  17.990    0.155    231     36  o    0     20.42  299.61892  62.13773   5147.11   5474.88   3.94  3.72 -58.0 -0.451  18.35  19.41  02a57527o0425o  1028           3    153.0       16.626     40.724       1.0136          7        0          7  168.126       19.315     28.913     0.4806         4            0       4
 57527.535116  21.354    3.522     10     37  o    0      8.65  299.61892  62.13773   5084.63   5396.10   3.96  3.74 -55.9 -0.455  18.41  19.47  02a57527o0447o  1536           2    140.0       30.081     73.683       3.3726          7        0          7  134.748       16.587     76.520     3.3654         5            0       5
 57527.546190  18.647    0.303    126     38  o    0      6.51  299.61892  62.13773   5058.25   5513.64   3.86  3.60 -59.5 -0.458  18.44  19.50  02a57527o0468o     0           0     39.0       34.451     84.388       4.3067          7        0          7   33.752       16.366     61.622     2.1137         6            1       7
 57527.557816  18.367    0.209    163     34  o    0     12.70  299.61892  62.13773   5092.90   5453.03   3.77  3.53 -62.9 -0.477  18.48  19.55  02a57527o0490o  1028           2    126.0       41.853    102.517       6.9761          7        0          7   59.804       19.153     70.101     2.9731         4            1       5
 57534.370414  17.076    0.096    536     51  o    0     35.99  299.61892  62.13773    386.02   2928.21   4.63  3.62 -34.4 -0.485  18.15  19.26  02a57534o0053o     4           7    504.0       78.936    193.353      10.8513          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57534.370897  17.616    0.160    326     52  o    0     17.95  299.61892  62.13773    386.11   2927.77   4.69  3.65 -34.3 -0.486  18.19  19.84  02a57534o0054o  1540           5    322.0       53.817    131.824       5.6030          7        0          7  247.571       37.118    239.325    13.2233         2            0       2
 57534.371381  17.015    0.091    568     52  o    0     32.61  299.61892  62.13773    386.21   2927.40   4.61  3.61 -35.0 -0.491  18.19  19.91  02a57534o0055o     4           7    465.0       53.352    130.686       4.9202          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57534.371864  18.476    0.381    148     56  o    0     18.48  299.61892  62.13773    386.30   2927.14   4.65  3.60 -33.3 -0.495  18.21  19.89  02a57534o0056o  1028           6    284.0       27.004     66.146       1.4164          7        0          7  284.000       56.000        NaN        NaN         1            0       1
 57534.372347  19.359    0.820     66     54  o    0      7.25  299.61892  62.13773    386.06   2926.82   4.63  3.63 -33.5 -0.489  18.21  19.89  02a57534o0057o  1024           0    168.0       37.170     91.046       2.5634          7        0          7  175.658       20.445     90.647     2.5400         7            0       7
 57534.372833  17.062    0.084    544     45  o    0     31.62  299.61892  62.13773    386.25   2926.57   4.73  3.66 -34.4 -0.482  18.21  19.92  02a57534o0058o     4           7    568.0       80.555    197.320      10.9123          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57534.373317  17.378    0.134    406     55  o    0     27.86  299.61892  62.13773    386.36   2926.42   4.76  3.65 -33.0 -0.478  18.22  19.93  02a57534o0059o     4           7    509.0       84.340    206.590      15.5614          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57534.373800  13.921    0.004   9810     44  o    0   1073.84  299.61892  62.13773    386.41   2926.22   4.65  3.63 -34.7 -0.486  18.22  19.98  02a57534o0060o     4           7   1433.0     2029.898   4972.215   12019.4346          7        0          7      NaN          NaN        NaN        NaN         0            0       0
 57534.374283  17.928    0.205    245     50  o    0     18.55  299.61892  62.13773    386.36   2926.04   4.69  3.64 -33.7 -0.486  18.22  20.05  02a57534o0061o  1540           5    341.0       39.622     97.054       3.2233          7        0          7  275.999       38.164    119.723     3.1239         2            0       2
 57534.374767  17.756    0.188    287     54  o    0     14.55  299.61892  62.13773    386.10   2925.88   4.65  3.62 -32.6 -0.493  18.23  20.01  02a57534o0062o  1028           4    315.0       55.230    135.286       5.1901          7        0          7  226.707       32.782    103.490     2.6843         3            0       3
 57535.478976  14.732    0.006   4649     28  o    0    716.80  299.61892  62.13773   5361.97   6604.75   3.52  3.14 -79.0 -0.490  18.79  20.06  02a57535o0507o  1028           5   4362.0     1287.603   3153.971   10038.1049          7        0          7  111.000       30.000        NaN        NaN         1            1       2
 57535.490504  14.739    0.006   4618     26  o    0    767.75  299.61892  62.13773   5381.09   6643.41   3.57  3.22 -80.2 -0.479  18.79  20.06  02a57535o0529o   516           5   4806.0     1176.746   2882.427    9431.3276          7        0          7   23.036       20.143     99.318     7.7194         2            0       2
 57535.501815  16.988    0.047    582     27  o    0     27.66  299.61892  62.13773   5327.55   6565.92   3.49  3.14 -77.4 -0.482  18.84  20.11  02a57535o0551o  1540           5    353.0      833.858   2042.526    6921.9839          7        0          7   68.270       21.886    103.904     7.1149         2            0       2
 57535.512878  14.463    0.004   5952     27  o    0   1299.20  299.61892  62.13773   5298.07   6682.97   3.48  3.09 -81.6 -0.495  18.85  20.12  02a57535o0573o     4           5   5971.0     1468.214   3596.376   13397.8387          7        0          7   17.690       21.072     29.502     0.6023         2            0       2
 57535.523388  14.147    0.004   7965     31  o    0   1667.79  299.61892  62.13773   5343.22   6623.80   3.45  3.11 -80.5 -0.494  18.87  20.16  02a57535o0594o     4           5   6980.0     1726.243   4228.414   18277.3146          7        0          7   22.500       21.213     11.521     0.0939         2            0       2
 57914.530063  19.767    0.476     45     21  o    0      1.10  299.61892  62.13773   5148.22   4300.42   2.26  2.25 -44.4 -0.436  18.72  19.23  02a57914o0575o  1024           0     34.0       13.975     34.231       1.6777          7        0          7   28.551        8.863     33.119     1.6147         7            0       7
 57914.546969  20.857    1.409     16     23  o    0      0.81  299.61892  62.13773   5321.48   6106.23   2.19  2.07 -26.3 -0.471  18.77  19.28  02a57914o0606o     0           0      1.0        8.676     21.251       0.6799          7        0          7   -1.680        9.343     21.191     0.6662         7            0       7
 57914.563058  21.208    1.919     12     23  o    0      1.31  299.61892  62.13773   5371.54   6179.45   2.09  1.93 -25.7 -0.501  18.79  19.25  02a57914o0635o     0           0     15.0       13.351     32.702       1.5363          7        0          7   14.203        9.159     32.697     1.5350         7            0       7
 57914.579132  21.945    4.328      6     26  o    0      0.78  299.61892  62.13773   5386.28   6061.28   2.12  1.96 -27.3 -0.488  18.82  19.25  02a57914o0664o     0           0     17.0        7.238     17.730       0.4702          7        0          7   15.544        8.965     17.537     0.4658         7            0       7
 57914.595072 -21.596    3.076     -8     26  o    0      0.97  299.61892  62.13773   5341.65   6118.16   2.13  1.97 -18.3 -0.486  18.82  19.27  02a57914o0693o     0           0    -11.0       11.920     29.198       1.0846          7        0          7   -3.363        9.752     26.763     0.9824         7            0       7
 57921.584813  19.272    0.226     71     16  o    0      5.68  299.61892  62.13773   4046.29   7412.40   3.38  3.09  51.2 -0.415  19.10  20.39  01a57921o0046o     0           2     31.0       18.685     45.770       7.2276          7        0          7   13.733        7.641     16.518     0.8160         5            0       5
