coord_ra,coord_dec,diaObjectId,band,psfFlux,psfFluxErr,psfMag,psfMagErr,expMidptMJD,visitId,detector,ccdVisitId
70.9146485,-29.8840498,2003749990458982531,g,27748.6691948,158.4902678,20.291894601192354,0.006201328814879472,59633.0640702,39425,135,39425135
70.9146485,-29.8840498,2003749990458982531,g,25042.0274207,152.6632295,20.40332628310503,0.00661895271572289,59876.1508872,219178,12,219178012
70.9146485,-29.8840498,2003749990458982531,g,15629.9575228,120.5008167,20.915105505629995,0.008370598525508685,59876.1655222,219210,172,219210172
70.9146485,-29.8840498,2003749990458982531,g,14111.0441105,114.5130066,21.026102126377374,0.008810894233461593,59876.1731542,219226,28,219226028
70.9146485,-29.8840498,2003749990458982531,g,25036.6385857,148.3717641,20.403559949604166,0.006434274133717481,59958.1080732,271913,155,271913155
70.9146485,-29.8840498,2003749990458982531,g,23880.9627714,152.0390451,20.45487042104702,0.006912380266327377,60145.4079732,400427,113,400427113
70.9146485,-29.8840498,2003749990458982531,g,29950.889115,167.4222019,20.208975701800462,0.0060691469086344456,60177.3201112,419023,74,419023074
70.9146485,-29.8840498,2003749990458982531,g,24337.9864209,148.803341,20.43428838885423,0.006638230949703002,60177.3783082,419149,61,419149061
70.9146485,-29.8840498,2003749990458982531,g,25146.8372105,151.0637453,20.398791574075133,0.006522306408779172,60177.3932202,419181,65,419181065
70.9146485,-29.8840498,2003749990458982531,g,16854.7377377,125.0489623,20.83319500194768,0.008055312865109679,60178.3447012,419786,57,419786057
70.9146485,-29.8840498,2003749990458982531,g,15092.6279058,118.1740669,20.953087837336586,0.00850122746665822,60178.3600052,419819,122,419819122
70.9146485,-29.8840498,2003749990458982531,g,16076.9939525,122.0752085,20.88448787900078,0.008244170145454147,60178.3604532,419820,114,419820114
70.9146485,-29.8840498,2003749990458982531,g,759999.5652379,834.4613711,16.69796664039945,0.0011921124215272091,60260.2337382,466317,84,466317084
70.9146485,-29.8840498,2003749990458982531,g,940023.3044199,938.0043429,16.467153448831844,0.0010834042842537525,60279.0602612,479276,35,479276035
70.9146485,-29.8840498,2003749990458982531,g,948327.5289722,939.5988752,16.457604105339776,0.0010757428057164005,60279.0756392,479308,34,479308034
70.9146485,-29.8840498,2003749990458982531,g,24306.7573919,150.7728856,20.435682434312184,0.0067347354462972105,60524.4162652,633832,146,633832146
70.9146485,-29.8840498,2003749990458982531,g,26865.725468,159.5104673,20.32700356868971,0.006446365633854981,60530.3537342,637873,56,637873056
70.9146485,-29.8840498,2003749990458982531,g,28490.1229944,163.2200538,20.263264189671233,0.006220188020531283,60530.3541832,637874,130,637874130
70.9146485,-29.8840498,2003749990458982531,g,23397.7738467,148.0805613,20.47706365263761,0.006871441175460001,60530.3777632,637923,20,637923020
70.9146485,-29.8840498,2003749990458982531,g,25195.6238202,153.4749326,20.39668721111964,0.006613580677174558,60530.3804552,637929,168,637929168
70.9146485,-29.8840498,2003749990458982531,g,32626.2468214,171.497434,20.116082206620188,0.005707091414351284,60535.4038022,642253,25,642253025
70.9146485,-29.8840498,2003749990458982531,g,41739.0655445,194.4320772,19.8486431954003,0.005057658642532423,60560.2918842,662546,94,662546094
70.9146485,-29.8840498,2003749990458982531,g,38813.9100856,188.5567608,19.927531511349983,0.005274472512585916,60560.3150292,662595,56,662595056
70.9146485,-29.8840498,2003749990458982531,g,15250.8454901,118.3912055,20.941765197103415,0.008428491274123252,60588.2149202,680278,54,680278054
70.9146485,-29.8840498,2003749990458982531,g,14269.384364,112.8049917,21.01398690902929,0.008583163817152772,60607.2328162,695687,4,695687004
70.9146485,-29.8840498,2003749990458982531,g,13972.9662125,119.5075419,21.036778477739023,0.009286050149209088,60607.2447082,695710,60,695710060
70.9146485,-29.8840498,2003749990458982531,g,12935.3723857,109.7158926,21.120552660560175,0.009209051991797623,60610.1688082,697941,125,697941125
70.9146485,-29.8840498,2003749990458982531,g,11892.9542485,104.3355418,21.21177562954744,0.009525040861029357,60610.1714872,697947,136,697947136
70.9146485,-29.8840498,2003749990458982531,g,18384.9251597,130.2261352,20.738845334231534,0.0076906067641927915,60619.1470882,703741,10,703741010
70.9146485,-29.8840498,2003749990458982531,g,35078.235586,179.6336287,20.03740564876494,0.005559992713815655,60734.1006732,784750,108,784750108
70.9146485,-29.8840498,2003749990458982531,g,28638.8984994,167.6089526,20.25760922436295,0.006354263523201558,60767.0069122,808220,176,808220176
70.9146485,-29.8840498,2003749990458982531,g,20080.6239907,147.958508,20.64305698983507,0.007999946068010378,60962.3019232,944271,149,944271149
70.9146485,-29.8840498,2003749990458982531,g,20171.8819055,148.9376493,20.638133957610314,0.008016455720598325,60962.3023732,944272,37,944272037
70.9146485,-29.8840498,2003749990458982531,g,19929.4500387,151.3029146,20.65126171416867,0.008242829177305441,60962.3097822,944286,132,944286132
70.9146485,-29.8840498,2003749990458982531,g,19995.7712269,153.218514,20.647654601715914,0.008319503459073672,60962.3148102,944295,40,944295040
70.9146485,-29.8840498,2003749990458982531,g,32342.3829423,172.4088838,20.125569962576385,0.0057877790729753045,60993.1103402,960209,31,960209031
70.9146485,-29.8840498,2003749990458982531,g,20842.327753,137.6538807,20.602634447376975,0.0071707826387066576,61017.0642132,975927,15,975927015
70.9146485,-29.8840498,2003749990458982531,g,20220.6573786,135.5788528,20.63551182373474,0.0072798260871736725,61017.0670642,975933,175,975933175
70.9146485,-29.8840498,2003749990458982531,g,24704.2875561,148.8350357,20.41806916539734,0.006541195993974634,61020.0851872,977330,114,977330114
70.9146485,-29.8840498,2003749990458982531,g,24627.4179581,149.4450319,20.42145279757759,0.006588505625361213,61080.1168362,1016825,139,1016825139
70.9146485,-29.8840498,2003749990458982531,g,35498.2996088,178.9369925,20.02448112357364,0.005472892315090565,61109.0373382,1039937,38,1039937038
70.9146485,-29.8840498,2003749990458982531,g,40964.4245035,193.3301006,19.868982855075657,0.005124092239426361,61109.0504672,1039965,124,1039965124
70.9146485,-29.8840498,2003749990458982531,g,15783.0465087,120.3512901,20.90452290930954,0.008279121073291542,61298.2817152,1169222,175,1169222175
70.9146485,-29.8840498,2003749990458982531,g,14524.9949864,115.4080578,20.994710022108137,0.008626695347681835,61298.3005402,1169261,5,1169261005
70.9146485,-29.8840498,2003749990458982531,g,13920.776729,112.894859,21.040841329969606,0.008805114695361492,61298.3009892,1169262,10,1169262010
70.9146485,-29.8840498,2003749990458982531,g,19107.1140549,130.2317305,20.697012259950178,0.007400243930395776,61327.3625612,1192510,126,1192510126
70.9146485,-29.8840498,2003749990458982531,g,27411.8466993,156.0899174,20.30515426409727,0.006182453753588723,61330.2223402,1194636,62,1194636062
70.9146485,-29.8840498,2003749990458982531,g,25533.7366722,150.7933295,20.382214061954528,0.006411978762686352,61330.2338472,1194661,46,1194661046
70.9146485,-29.8840498,2003749990458982531,g,27172.0625994,154.7011682,20.314693483865256,0.006181520398706353,61330.2367832,1194667,149,1194667149
70.9146485,-29.8840498,2003749990458982531,g,13072.842135,108.3213037,21.10907495810259,0.008996388081427003,61355.2789522,1206084,67,1206084067
70.9146485,-29.8840498,2003749990458982531,g,19903.985182,140.4929144,20.65264990077529,0.007663703639309951,61358.0874752,1207489,68,1207489068
70.9146485,-29.8840498,2003749990458982531,g,18266.5987428,132.5878627,20.745855777862225,0.007880801722960698,61358.1053362,1207527,9,1207527009
70.9146485,-29.8840498,2003749990458982531,g,24380.0257039,147.3916639,20.432414602100074,0.006563917024508,61384.0745222,1225279,77,1225279077
70.9146485,-29.8840498,2003749990458982531,g,23010.3410655,143.393329,20.49519236013338,0.0067659722371312386,61384.0952712,1225324,134,1225324134
